Continent,Country Name,Country Code,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Asia,Armenia,ARM,,,11.74260625,11.73526519,11.72792413,11.72058307,11.71324201,11.70590095,11.69855989,11.69121883,11.68387777,11.67657183,11.66926589,11.66195996,11.65465402,11.64734809,11.64004215,11.63273621,11.62543028,11.61812434,11.61081841,11.60351247,11.59620653,11.5889006,11.58159466,11.57428872,11.56691254,11.55953635,11.55216017,11.54478398,11.5374078,11.53003161,11.52265543
Asia,Azerbaijan,AZE,,,11.45482293,11.50587019,11.55691746,11.60796472,11.65901198,11.71005924,11.7787994,11.885279,11.95109255,12.00604692,12.05881164,12.10862895,12.16046303,12.21700097,12.27518908,12.33116944,12.38626236,12.44180848,12.49146583,12.60099567,12.71082654,12.82050351,12.92970858,13.03953401,13.15441152,13.27314606,13.41393036,13.55336705,13.69418968,13.83299093,13.97248155
Asia,Bangladesh,BGD,14.75247753,14.75247599,14.75247446,14.75247292,14.75247138,14.75246985,14.75246908,14.75246754,14.75246601,14.75246447,14.75246293,14.72789045,14.70331797,14.67874549,14.654173,14.62960052,14.60502804,14.58045556,14.55588308,14.53130983,14.50673734,14.4991442,14.49155105,14.4839579,14.47636475,14.46877161,14.46877161,14.46877161,14.46877161,14.46877161,14.46877161,14.46877161,14.46877161
Asia,Bahrain,BHR,0.31884058,0.34057971,0.352112676,0.373239437,0.394366197,0.415492958,0.436619718,0.457746479,0.478873239,0.5,0.521126761,0.542253521,0.563380282,0.576388889,0.589041096,0.601351351,0.621621622,0.633333333,0.644736842,0.664473684,0.682414698,0.698826597,0.716883117,0.737662338,0.757457847,0.771208226,0.795892169,0.820512821,0.848329049,0.871794872,0.891719745,0.911392405,0.936708861
Asia,Bhutan,BTN,53.65066455,53.86315091,54.07563727,54.28812362,63.98070352,64.23015075,64.47959799,64.72904523,64.97849246,65.2279397,65.47738693,65.7268593,65.97633166,66.22580402,69.41039431,69.67088176,69.93136921,70.19185665,70.4523441,70.71283154,70.97331899,71.02521185,71.0771047,71.12899756,71.18089042,71.23278327,71.23427013,71.28617869,71.34556896,71.39748296,71.44939696,71.50131096,71.55322496
Asia,China,CHN,16.73800655,16.94954715,17.16108774,17.37262834,17.58416893,17.79572849,18.00728849,18.21882953,18.43037058,18.64191163,18.85347276,19.10496812,19.3564539,19.60793869,19.85942287,20.11090813,20.36239278,20.61387789,20.86536169,21.11684505,21.36832885,21.57462737,21.78092589,21.9872244,22.19352292,22.39982144,22.63049793,22.83070681,23.03091218,23.23111754,23.4313229,23.63152827,23.83173363
Asia,Cyprus,CYP,17.43614719,17.54978355,17.66341991,17.77705628,17.89069264,18.004329,18.11796537,18.23160173,18.3452381,18.45887446,18.57251082,18.58582251,18.5991342,18.61244589,18.62575758,18.63906926,18.65238095,18.66569264,18.67900433,18.69231602,18.70562771,18.70281385,18.7,18.69718615,18.69437229,18.69155844,18.68073593,18.67857143,18.67640693,18.67424242,18.67207792,18.66991342,18.66774892
Asia,Georgia,GEO,,,39.63102605,39.64297021,39.65491438,39.66685854,39.67880271,39.69074687,39.70269103,39.7146352,39.72657936,39.81551302,39.90444668,39.99338034,40.082314,40.17124766,40.26018132,40.34911498,40.43804864,40.5269823,40.61591596,40.61591596,40.61591596,40.61591596,40.61591596,40.61591596,40.61591596,40.61591596,40.61591596,40.61591596,40.61591596,40.61591596,40.61591596
Asia,Indonesia,IDN,65.43771425,64.48467352,63.53163278,62.57859205,61.62555132,60.67251058,59.71946985,58.76642912,57.81338839,56.86034765,53.94352867,53.85720198,53.77087529,53.6845486,53.59822191,53.51189522,53.42556853,53.33924184,53.25291515,53.16658846,53.08026177,52.58691923,52.09357668,51.60023414,51.10689159,50.61354905,50.74345453,50.03933382,49.71681778,49.39429641,49.07178037,48.36194487,48.04199007
Asia,India,IND,21.50484833,21.627713,21.75057766,21.87344233,21.996307,22.11917166,22.24203633,22.364901,22.48776567,22.61063033,22.733495,22.7975676,22.86164019,22.92571279,22.98978538,23.05385798,23.11793057,23.18200317,23.24607576,23.31014836,23.37422095,23.46382169,23.55342242,23.64302315,23.73262388,23.82222461,23.91182535,24.00142608,24.09102681,24.18062754,24.27022827,24.35982901,24.44942974
Asia,Iraq,IRQ,1.838260512,1.841461463,1.844662414,1.847863365,1.851064316,1.854265267,1.857466219,1.86066717,1.863868121,1.867069072,1.870270023,1.871870499,1.873470974,1.87507145,1.876671925,1.878272401,1.879872877,1.881473352,1.883073828,1.897909376,1.89952109,1.89952109,1.89952109,1.900361184,1.900361184,1.900361184,1.900361184,1.900361184,1.900361184,1.900361184,1.900361184,1.900361184,1.900361184
Asia,Israel,ISR,6.099815157,6.196857671,6.293900185,6.390942699,6.487985213,6.585027726,6.68207024,6.779112754,6.876155268,6.973197782,7.070240296,7.074861368,7.07948244,7.084103512,7.088724584,7.093345656,7.097966728,7.1025878,7.107208872,7.111829945,7.116451017,7.218114603,7.319778189,7.421441774,7.52310536,7.624768946,6.469500924,6.469500924,6.469500924,6.469500924,6.469500924,6.469500924,
Asia,Jordan,JOR,1.10494107,1.10494107,1.10494107,1.10494107,1.10494107,1.10494107,1.10494107,1.10494107,1.10494107,1.10494107,1.10494107,1.10494107,1.10494107,1.10494107,1.10494107,1.10494107,1.10494107,1.10494107,1.10494107,1.09822032,1.09822032,1.09822032,1.09822032,1.09822032,1.09822032,1.09822032,1.09822032,1.09822032,1.09822032,1.098047165,1.098047165,1.098047165,1.098047165
Asia,Japan,JPN,68.43115743,68.41086122,68.390565,68.37026879,68.34997257,68.32967636,68.32812071,68.30781893,68.28751715,68.26721536,68.24691358,68.27160494,68.2962963,68.32098765,68.34567901,68.37037037,68.39506173,68.41975309,68.44444444,68.4691358,68.49382716,68.48175583,68.4696845,68.45761317,68.44554184,68.43347051,68.42249657,68.40877915,68.40877915,68.40877915,68.40877915,68.40877915,68.40877915
Asia,Kazakhstan,KAZ,,,1.170937882,1.17074086,1.170543838,1.170346816,1.170149794,1.169952773,1.169755751,1.169558729,1.169361707,1.166593029,1.163824314,1.161055636,1.158286958,1.15551828,1.152749565,1.149980887,1.147212209,1.144443494,1.141674816,1.158437938,1.175201022,1.191964107,1.208727229,1.225490314,1.236326258,1.247160796,1.257992073,1.268822462,1.279653295,1.290483832,1.301314553
